,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Diversity_Index,Students_with_Disabilities,Staff,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,School_Type,income
43700000000000_158,0.12,0,100,0,0,28.55,1975,170405,50.5,0.63,221,24.94,40.86,52.82,35.55,22.95,0,0,0,Control School,high income
43700000000000_159,0.15,0,100,0,0,27.45,1931,245125,52.5,0.63,504.5,21.14,30.76,52.82,41.22,22.3,0,0,0,Control School,high income
43700000000000_160,0.15,0,100,0,0,27.83,1940,250000,8,0.61,42,9.23,27.07,52.82,29.85,6.15,0,0,0,Control School,high income
43700000000000_161,0.09,0,100,0,0,29.17,1930,133676,65,0.61,38.5,10.44,64.26,52.82,55.88,28.85,0,0,0,Control School,high income
40700000000000_168,0.08,0.2,96.2,0,3.6,23.34,1960,145781,41.5,0.63,85.5,31.42,39.13,50.32,35.9,18.8,0,0,0,Control School,high income
40700000000000_170,0.2,0.57,73.75,0,25.68,28.36,1958,146038,20.5,0.61,112.5,9.57,37.22,50.32,51.04,12.35,0,0,0,Control School,high income
28700000000000_171,0.14,0,89.33,0,10.67,27.42,2005,181607,44,0.63,13,11.9,71,40.35,24.53,16.45,0,0,0,Control School,high income
10600000000000_172,0.13,0,94.7,0,5.3,28.92,2007,143409,24.5,0.63,27.5,13.02,28.15,29.25,34.23,9.8,0,0,0,Control School,high income
28700000000000_173,0.19,0,73.41,1.67,24.92,28.55,2018,121950,79.5,0.63,42,17.61,42.13,40.35,46.07,30.65,0,0,0,Control School,high income
28700000000000_175,0.21,0,63.04,1.83,35.13,27.58,1950,135000,69.5,0.63,336,16.88,32.58,40.35,39.87,21.35,0,0,0,Control School,high income
43700000000000_178,0.12,0,98.57,0,1.43,29.28,1965,249519,7,0.63,1894.5,7.98,10.91,52.82,36.75,5,0,0,0,Control School,high income
7620000000000_179,0.16,0,88.6,0.24,11.16,27.08,1976,111891,10,0.56,653.5,13.77,48.26,21.42,29.25,17.7,0,0,0,Control School,high income
1610000000000_190,0.11,0,100,0,0,27.62,1995,167778,45,0.63,645,19.23,60.43,19.56,40.52,32.45,0,0,0,Control School,high income
1610000000000_192,0.12,0,100,0,0,27.61,1955,117917,48,0.63,98.5,36.4,60.43,19.56,40.52,27.25,0,0,0,Control School,high income
10600000000000_193,0.17,0,100,0,0,29.52,1957,117370,54,0.63,38.5,13.41,71.87,29.25,56.21,17.1,0,0,0,Control School,high income
43700000000000_197,0.12,0,100,0,0,28.86,2019,250000,19,0.63,1894.5,7.48,13.01,52.82,27.74,7.45,0,0,0,Control School,high income
1610000000000_201,0.12,0,100,0,0,29.05,1960,179125,66,0.61,1894.5,10.64,66.86,19.56,29.21,12.85,0,0,0,Control School,high income
1610000000000_202,0.12,0,96.58,0,0,29.05,1960,179125,77,0.63,199,10.64,66.86,19.56,29.21,12.85,0,0,0,Control School,high income
1610000000000_203,0.12,0,100,0,0,28.85,1960,136000,91,0.63,199,8.83,66.86,19.56,29.21,0,0,0,0,Control School,high income
1610000000000_204,0.11,0,100,0,0,28.68,1961,146353,66,0.63,38.5,8.34,66.44,19.56,46.69,6.9,0,0,0,Control School,high income
1610000000000_205,0.11,0.48,99.52,0,0,28.76,1959,204202,27,0.63,241,7.24,58.08,19.56,25.56,7.7,0,0,0,Control School,high income
1610000000000_206,0.12,0,100,0,0,28.95,1962,179125,0,0.63,38.5,18.49,66.86,19.56,29.21,4.4,0,0,0,Control School,high income
43700000000000_212,0.12,0,100,0,0,28.89,1963,185795,8.5,0.63,164,15.67,13.01,52.82,33.17,6.7,0,0,0,Control School,high income
15600000000000_215,0.12,0,100,0,0,32.66,2008,121750,58.5,0.63,241,59.15,49.73,27.08,40.16,15.5,0,0,0,Control School,high income
43700000000000_216,0.11,0,100,0,0,28.66,1959,160779,43.5,0.63,205,12.99,29.3,52.82,39.16,12.85,1,0,0,Prop. 39 School,high income
41700000000000_217,0.19,0,100,0,0,24.77,1953,179722,63.5,0.63,15,8.73,21.78,51.16,33.39,26,0,0,0,Control School,high income
41700000000000_218,0.14,0,99.84,0,0.16,27.1,1940,150685,31.5,0.61,161,11.28,31.27,51.16,47.52,12.45,0,0,0,Control School,high income
41700000000000_220,0.16,0,75.97,10.42,13.6,25.46,1968,179000,18.5,0.61,205,8.3,27.33,51.16,24.64,10.35,0,0,0,Control School,high income
41700000000000_221,0.15,0,98.41,1.43,0.16,26.76,1954,229625,41,0.61,55,15.1,42.33,51.16,26.38,16.3,0,0,0,Control School,high income
41700000000000_224,0.2,3.67,78.12,4.63,13.58,20.84,1959,228106,21,0.61,241,6.27,38.38,51.16,28.04,9.15,0,0,0,Control School,high income
41700000000000_225,0.06,4.7,95.3,0,0,26.9,1973,141157,0,0.63,42,12.21,19.18,51.16,42.51,12.85,0,0,0,Control School,high income
41700000000000_226,0.19,0.32,88.48,10.64,0.56,24.41,1954,136406,6,0.63,13,14.22,21.73,51.16,16.17,44.2,0,0,0,Control School,high income
41700000000000_227,0.09,11.17,88.83,0,0,26.68,1994,158958,8,0.63,336,8.67,19.18,51.16,31.41,5.85,0,0,0,Control School,high income
41700000000000_228,0.08,12.96,84.86,0,2.18,25.41,1946,150556,7,0.63,241,11.41,19.18,51.16,20.34,5.5,0,0,0,Control School,high income
27700000000000_233,0.21,36.2,24.37,0.2,39.23,22.58,1978,117748,81.5,0.61,161,52.18,59.6,39.52,41.36,37.6,0,0,0,Control School,high income
41700000000000_235,0.16,0.73,77.24,4.15,17.89,22.84,1953,109861,12,0.61,464,12.81,53.97,51.16,19.11,9.95,0,0,0,Control School,high income
1750000000000_239,0.14,0,98.56,0,1.44,28.77,1962,117120,71,0.63,112.5,9.05,26.01,19.56,39.39,6.65,0,0,0,Control School,high income
1750000000000_240,0.14,0,98.2,0,1.8,28.58,1966,130729,3,0.63,1894.5,12.29,26.01,19.56,39.39,13.05,0,0,0,Control School,high income
1750000000000_241,0.14,0,96.12,0,3.88,28.61,1961,150444,70,0.63,38.5,16.81,26.01,19.56,39.39,7.25,0,0,0,Control School,high income
1750000000000_242,0.11,0,100,0,0,29.42,1968,125750,29,0.56,38.5,6.86,27.93,19.56,38.43,67.65,0,0,0,Control School,high income
39700000000000_247,0.25,0,100,0,0,26.61,1952,111250,46,0.63,13,13,28.96,49.49,47.93,12.05,0,1,0,Control School,high income
10600000000000_251,0.16,7.17,85.59,0,1.4,28.15,1991,151250,41,0.56,241,45.46,25.47,29.25,37.15,12.1,1,0,0,Prop. 39 School,high income
7620000000000_253,0.14,43.1,56.9,0,0,27.04,1992,112596,70,0.58,1894.5,14.09,77.78,21.42,42.57,23.15,0,0,0,Control School,high income
7620000000000_254,0.11,0.09,98.52,0,1.39,29.47,1953,146619,81,0.63,27.5,14.08,77.78,21.42,37.9,21.1,0,0,0,Control School,high income
41700000000000_264,0.1,13.62,86.38,0,0,27.16,2012,250000,7,0.63,278.5,13.33,38.89,51.16,46.54,10.25,0,0,0,Control School,high income
43700000000000_268,0.12,0,100,0,0,29.04,2005,237083,6.5,0.63,241,20.92,9.86,52.82,42.23,3.1,0,0,0,Control School,high income
20700000000000_276,0.16,0,99.9,0,0.1,30.64,1896,128635,87.5,0.57,278.5,23.63,79.55,34.44,41.16,38.1,1,0,0,Prop. 39 School,high income
24700000000000_289,0.09,0,100,0,0,28.8,1991,133846,89.5,0.58,13,15.48,32.86,19.56,32.6,15.1,1,0,0,Prop. 39 School,high income
1610000000000_295,0.13,0,100,0,0,27.2,1955,163500,88,0.63,1894.5,19.34,76.51,19.56,37.12,19.45,0,0,0,Control School,high income
1610000000000_296,0.13,0,100,0,0,27.29,1956,146250,45,0.63,1894.5,9.87,76.2,19.56,35.82,18.4,0,0,0,Control School,high income
1610000000000_299,0.11,0,100,0,0,28.3,1949,152976,26,0.47,1894.5,73.29,83.51,19.56,42.51,23.3,1,0,0,Prop. 39 School,high income
1610000000000_300,0.11,0,91.67,0,0,28.3,1949,152976,77,0.63,220,73.29,83.51,19.56,42.51,23.3,1,0,0,Prop. 39 School,high income
1610000000000_301,0.11,0,100,0,0.8,28.3,1949,152976,81,0.63,278.5,73.29,83.51,19.56,42.51,23.3,1,0,0,Prop. 39 School,high income
43700000000000_303,0.15,0,98.57,0,1.43,28.33,1887,211860,9,0.63,42.5,7.04,10.29,52.82,24.46,5.7,0,0,0,Control School,high income
10600000000000_306,0.17,0,83.33,0,16.67,29.52,1957,117370,24,0.63,83,24.59,71.87,29.25,56.21,17.1,0,0,0,Control School,high income
48700000000000_308,0.14,0,99.44,0,0.56,29.38,1982,128914,95,0.61,13,2.66,77.03,57.8,22.55,88.9,0,0,0,Control School,high income
54700000000000_315,0.15,0,91.83,0,8.17,30.61,1995,114500,93,0.63,241,35.75,50.53,54.48,45.63,16.05,1,0,0,Prop. 39 School,high income
43700000000000_324,0.13,0,99.92,0,0.08,26.82,2004,238472,14,0.63,13,7.89,26.77,52.82,14.16,3.9,0,0,0,Control School,high income
43700000000000_328,0.13,0,100,0,0,29.92,1965,234643,21,0.61,38.5,10.2,18.38,52.82,38.76,11.5,0,0,0,Control School,high income
45700000000000_339,0.21,0,27.7,13.41,58.89,28.3,2004,113750,62,0.63,205,9.38,64.6,54.48,19.45,20.85,1,0,0,Prop. 39 School,high income
10700000000000_340,0.15,0,98.98,0,1.02,30.11,1953,119750,47.5,0.63,1894.5,19.51,76.94,29.25,63.26,18.3,0,0,0,Control School,high income
10700000000000_341,0.16,0,76.39,0,23.61,30.04,1952,122292,83,0.63,112.5,23.06,75.99,29.25,40.92,40,0,0,0,Control School,high income
43700000000000_349,0.12,0.97,98.3,0,0.73,29.45,1992,118704,24,0.63,148.5,13.31,26.65,52.82,24.99,13.25,0,0,0,Control School,high income
43700000000000_350,0.11,0,100,0,0,29.01,2005,237083,58,0.61,125.5,25.71,9.86,52.82,42.23,3.9,0,0,0,Control School,high income
43700000000000_354,0.12,0,100,0,0,29.42,1998,250000,7.5,0.61,241,12.28,10.1,52.82,36.13,3.3,0,0,0,Control School,high income
43700000000000_358,0.13,0,100,0,0,28.97,1950,250000,7,0.63,98.5,12.39,9.84,52.82,41.31,3,0,0,0,Control School,high income
43700000000000_359,0.14,0,100,0,0,28.89,1955,220216,11.5,0.63,42,26.32,12.22,52.82,30.41,3.55,0,0,0,Control School,high income
7620000000000_361,0.16,0,99.52,0,0.48,27.24,1973,159896,10,0.63,112.5,20.41,24.66,21.42,45.58,8.5,0,0,0,Control School,high income
7620000000000_362,0.15,0,100,0,0,28.18,1951,163661,39,0.63,161,11.78,24.66,21.42,45.58,6.5,0,0,0,Control School,high income
7620000000000_363,0.18,0,98.24,1.28,0.48,26.27,1955,144091,64,0.63,112.5,10.9,29.58,21.42,35.25,9.5,0,0,0,Control School,high income
7620000000000_364,0.2,0,74.94,2.86,22.2,26.77,1951,111607,19,0.63,1894.5,10.27,29.58,21.42,35.25,7.2,0,0,0,Control School,high income
7620000000000_366,0.19,0,49.11,4.82,46.07,26.89,1958,111607,49,0.61,241,8.61,21.21,21.42,28.17,12.15,0,0,0,Control School,high income
7620000000000_368,0.22,1.67,69.94,16.51,11.88,25.85,1955,155994,10,0.47,32.5,26.17,10.12,21.42,22.49,6.4,1,0,0,Prop. 39 School,high income
7620000000000_370,0.22,0,83.36,0,0.18,25.85,1955,155994,38.5,0.57,205,26.17,10.12,21.42,22.49,6.4,1,0,0,Prop. 39 School,high income
7620000000000_371,0.19,0,52.38,16.43,31.19,25.96,1994,115822,45,0.61,164,6.65,46.23,21.42,31.22,9.8,0,0,0,Control School,high income
23700000000000_376,0.2,0,57.83,8.15,34.03,28.03,1929,110129,53.5,0.56,42,11.25,100.53,36.2,37.43,34.7,1,0,0,Prop. 39 School,high income
23700000000000_377,0.2,0,73.91,2.78,6.38,28.03,1929,112766,53.5,0.57,205,11.25,100.53,36.2,37.43,34.7,1,0,0,Prop. 39 School,high income
23700000000000_378,0.2,0,60.73,0.71,4.57,28.03,1929,111250,53.5,0.57,13,11.25,100.53,36.2,37.43,34.7,1,0,0,Prop. 39 School,high income
43700000000000_386,0.15,0,89.03,0,10.97,28.98,1955,152500,56.5,0.63,241,14.83,36.24,52.82,37.77,23.95,0,0,0,Control School,high income
44700000000000_396,0.23,0,38.35,56.01,5.65,19.21,1969,136709,39,0.63,13,36.19,25.31,53.65,27.52,19.65,0,0,0,Control School,high income
1610000000000_411,0.12,0,100,0,0,30.79,1960,186429,27,0.57,23,21.68,31.1,19.56,27.11,15.2,1,0,0,Prop. 39 School,high income
1610000000000_412,0.1,0,100,0,0,30.73,1929,154671,11,0.47,183,48.71,28.61,19.56,40.84,12.8,1,0,0,Prop. 39 School,high income
1610000000000_415,0.1,0,99.84,0,0.16,30.36,1936,123750,51,0.47,42.5,7.04,28.8,19.56,42.11,80.35,1,0,0,Prop. 39 School,high income
1610000000000_416,0.14,0,95.21,0,4.79,29.33,1963,153494,45,0.56,241,16.22,28.61,19.56,40.84,18,1,0,0,Prop. 39 School,high income
1610000000000_417,0.14,8.98,65.82,0,25.2,30.58,1992,155938,19,0.47,36,20.37,30.08,19.56,36.19,11.95,1,0,0,Prop. 39 School,high income
1610000000000_418,0.12,0,98.08,0,1.92,30.39,1962,131724,0,0.47,241,55.78,31.1,19.56,27.11,4.3,1,0,0,Prop. 39 School,high income
1610000000000_419,0.14,0,99.25,0,0.75,30.45,1970,112000,84,0.57,42,14.12,31.1,19.56,32.32,15.85,1,0,0,Prop. 39 School,high income
1610000000000_420,0.13,2.3,92.62,0,5.08,29.8,1990,133598,65,0.56,32.5,22.94,30.08,19.56,36.19,20.05,1,0,0,Prop. 39 School,high income
15600000000000_430,0.14,0,100,0,0,31.95,1991,118304,31.5,0.63,241,59.63,43.63,27.08,34.23,12.2,0,0,0,Control School,high income
10600000000000_446,0.18,0,100,0,0,29.36,1955,117286,59.5,0.63,336,56.62,70.83,29.25,44.6,28.95,0,0,0,Control School,high income
39700000000000_507,0.19,0,100,0,0,29.01,1954,120689,70,0.63,1894.5,8.29,36.55,49.49,66.82,18.2,0,0,0,Control School,high income
39700000000000_512,0.26,0,100,0,0,25.48,2004,137969,28,0.63,271.5,15.02,38.23,49.49,57.4,9.15,0,1,0,Control School,high income
39700000000000_517,0.15,8.51,87.44,0,4.05,29.1,1934,120781,78,0.63,1894.5,10.11,36.88,49.49,34,26.2,0,0,0,Control School,high income
36675900000000_2121,0.08,0,84.58,0,15.42,43.81,2009,111471,91,0.63,38.5,14.46,84.73,34.44,34.8,36.25,0,0,0,Control School,high income
19753300000000_2681,0.11,4.92,93.06,0,2.02,33.19,1959,211513,3,0.63,1894.5,12,12.51,34.92,28.28,6.5,0,0,0,Control School,high income
30739240000000_656,0.13,0,98.89,0,1.11,38.46,1933,153000,0,0.63,142.5,15.17,21.72,22.48,64.47,7.65,0,0,0,Control School,high income
19646000000000_1271,0.13,1.21,97.1,0,1.69,34.15,1989,124176,7,0.61,125.5,13.97,12.77,34.92,41.45,6.3,0,0,0,Control School,high income
30666500000000_882,0.14,0,100,0,0,40.15,1968,111471,40,0.56,27.5,5.14,27.23,22.48,53.18,84.25,0,0,0,Control School,high income
30103100000000_3509,0.14,1.09,99.46,0,0,37.98,2017,115524,83,0.63,42.5,2.3,28.96,22.48,51.5,15.2,0,0,0,Control School,high income
30665480000000_730,0.15,0,99.92,0,0.08,37.73,1949,136061,0,0.63,27.5,17.7,32.83,22.48,60.31,13.1,0,0,0,Control School,high income
19753300000000_1188,0.15,2.7,95.27,0.76,1.27,33.7,1990,250000,3,0.63,98.5,25.75,13.27,34.92,42.12,5.75,0,0,0,Control School,high income
19650400000000_2940,0.15,0,100,0,0,39.52,1928,130250,88,0.63,1894.5,17.81,45.04,34.92,68.14,13.85,0,0,0,Control School,high income
19649800000000_2419,0.16,0,100,0,0,33.65,2014,139904,33,0.63,1523.5,5.5,50.53,34.92,63.22,18.95,0,0,0,Control School,high income
19650400000000_2939,0.16,0,100,0,0,39.49,1928,111453,88,0.63,27.5,17.81,45.04,34.92,68.14,13.85,0,0,0,Control School,high income
30666000000000_1311,0.17,17.87,82.05,0,0.08,29.1,1901,145455,23,0.63,161,20.05,21.76,22.48,56.88,16.55,0,0,0,Control School,high income
19734600000000_3655,0.17,0,100,0,0,39.97,1971,153000,21,0.63,38.5,17.93,26.46,34.92,53.8,4.7,0,0,0,Control School,high income
19651000000000_86,0.18,0,49.44,0,50.56,38.91,1993,138125,60,0.63,241,20.06,51.5,34.92,43.81,25.4,0,0,0,Control School,high income
19753400000000_235,0.18,0,100,0,0,35.79,1959,117100,22,0.63,241,15.58,22.51,34.92,39.52,4.7,0,0,0,Control School,high income
36677400000000_980,0.18,0,93.65,0,6.35,38.78,1959,157276,49,0.61,161,4.55,23.28,22.48,52.3,22.35,0,0,0,Control School,high income
11101200000000_2237,0.18,0,100,0,0,37.7,2014,122321,49,0.63,42,12.46,52.75,34.92,55.39,7.3,0,0,0,Control School,high income
19646400000000_97,0.19,0,67.89,0,32.11,41.81,1905,117748,88,0.61,112.5,18.59,64.53,34.92,33.77,34.6,0,0,0,Control School,high income
19643900000000_429,0.19,0,70.94,0,29.06,37.28,2001,117370,19,0.61,23,14.77,52.86,34.44,50.57,8.9,0,0,0,Control School,high income
19753410000000_755,0.19,0,100,0,0,36.47,1999,112260,0,0.57,164,19.3,29.39,34.92,43.7,8.45,0,0,0,Control School,high income
30666500000000_881,0.19,0,97.69,0,2.31,39.15,1968,111471,40,0.47,27.5,5.14,27.23,22.48,53.18,84.25,0,0,0,Control School,high income
30666500000000_883,0.19,0,73.91,0,1.12,39.15,1968,111471,40,0.57,15,5.14,27.23,22.48,53.18,84.25,0,0,0,Control School,high income
36677400000000_978,0.19,0,100,0,0,38.91,1997,157276,49,0.61,112.5,4.55,23.28,22.48,52.3,71.8,0,0,0,Control School,high income
36677400000000_979,0.19,0,100,0,0,38.97,1990,157276,49,0.63,1894.5,4.55,23.28,22.48,52.3,10.45,0,0,0,Control School,high income
19649800000000_1726,0.19,0,100,0,0,34.05,2003,150930,33,0.63,85.5,32.84,23.39,34.92,44.29,7.65,0,0,0,Control School,high income
19753400000000_1816,0.19,0,100,0,0,36.72,2002,125625,22,0.63,1523.5,23.22,28.1,34.92,34.39,9.05,0,0,0,Control School,high income
36678300000000_1999,0.19,0,89.62,0,7.52,39.89,2018,122276,85,0.63,36,2.8,57.95,34.44,53.41,26,0,0,0,Control School,high income
30666100000000_3605,0.19,0.08,88.07,0,11.85,36.83,1989,169722,35,0.63,1894.5,21.6,32.83,22.48,60.31,14.45,0,0,0,Control School,high income
19648100000000_858,0.2,0,100,0,0,41.28,1923,137943,68,0.63,112.5,20.07,66.24,34.92,44.48,10.65,0,0,0,Control School,high income
36677400000000_977,0.2,0,95.28,0,4.72,38.84,2007,157276,49,0.63,1894.5,4.55,23.28,22.48,52.3,9.5,0,0,0,Control School,high income
19642100000000_999,0.2,0,98.33,0,0.95,38.02,1980,153487,71,0.63,271.5,16.93,41.48,34.92,50,23.05,0,0,0,Control School,high income
19646300000000_1164,0.2,0,100,0,0,37.22,2013,137943,49,0.61,241,3.25,99.47,34.92,48.83,8.5,0,0,0,Control School,high income
