School_ID,Year_built,NDVI_median,Land_Surface_Temp,Diversity_Index,retrofit,Chronic_Absenteeism,Median_income_BG,income,School_Type
24700000000000_280,1893,0.23,28.73,0.47,1,32.15,44792,low income,Prop. 39
19647300000000_1006,1895,0.27,37.58,0.63,1,35.6,50833,low income,Prop. 39
30647700000000_1929,1896,0.26,38.11,0.58,0,20.8,118125,high income,Control
36678700000000_3571,1896,0.57,30.06,0.63,0,38.7,153487,high income,Control
19649070000000_686,1896,0.12,38.77,0.47,0,30.2,32000,low income,Control
19734400000000_544,1896,0.25,40.01,0.63,0,36,31607,low income,Control
19734400000000_545,1896,0.26,40.07,0.63,0,36,31607,low income,Control
15634040000000_684,1896,0.24,40.14,0.57,0,18.15,100450,medium income,Control
19651300000000_1601,1896,0.43,35.9,0.63,0,9.85,67891,medium income,Control
56725200000000_1893,1896,0.49,34.47,0.61,0,16.25,83194,medium income,Control
20700000000000_276,1896,0.16,30.64,0.57,1,38.1,128635,high income,Prop. 39
33670300000000_567,1896,0.27,37.45,0.63,1,17.3,50568,low income,Prop. 39
19643300000000_1751,1896,0.26,37.61,0.63,1,11.25,62059,medium income,Prop. 39
33670660000000_2204,1897,0.15,40.91,0.43,0,34.05,33958,low income,Control
54722600000000_3793,1897,0.3,37.55,0.58,0,40.7,49216,low income,Control
54721080000000_2373,1897,0.36,38.72,0.47,0,13.35,17917,low income,Control
33670800000000_576,1897,0.28,42.72,0.61,0,21.55,66750,medium income,Control
19644400000000_578,1897,0.29,37.83,0.63,0,12.4,71000,medium income,Control
19644400000000_579,1897,0.29,37.92,0.63,0,12.4,86583,medium income,Control
36676800000000_462,1897,0.2,38.43,0.47,1,25.3,74650,medium income,Prop. 39
30666000000000_1311,1901,0.17,29.1,0.63,0,16.55,145455,high income,Control
36678430000000_774,1901,0.24,39.89,0.63,0,18.1,121705,high income,Control
33671200000000_585,1901,0.21,40.28,0.63,0,31.15,51750,low income,Control
19647330000000_705,1901,0.21,40.11,0.47,0,28.75,51500,low income,Control
19645200000000_890,1901,0.22,39.45,0.63,0,15.2,36797,low income,Control
54722600000000_3792,1901,0.3,37.55,0.58,0,40.7,49216,low income,Control
19645200000000_898,1901,0.2,39.45,0.63,0,15.2,82218,medium income,Control
19644500000000_818,1901,0.22,39.55,0.63,0,19.55,71106,medium income,Control
19644500000000_819,1901,0.22,39.55,0.47,0,19.55,71106,medium income,Control
54720600000000_2825,1901,0.46,34.84,0.61,0,21.2,101250,medium income,Control
19645200000000_891,1901,0.22,39.45,0.63,0,15.2,100368,medium income,Control
19645200000000_892,1901,0.22,39.45,0.63,0,15.2,100368,medium income,Control
19645200000000_893,1901,0.22,39.45,0.61,0,15.2,100368,medium income,Control
19645200000000_894,1901,0.22,39.45,0.63,0,15.2,100368,medium income,Control
19645200000000_895,1901,0.22,39.45,0.61,0,15.2,100368,medium income,Control
19645200000000_896,1901,0.22,39.45,0.61,0,15.2,100368,medium income,Control
19645200000000_897,1901,0.22,39.45,0.63,0,15.2,100368,medium income,Control
30739200000000_1770,1901,0.14,38.72,0.56,1,10.8,153000,high income,Prop. 39
30739200000000_3188,1901,0.19,38.84,0.57,1,6.6,153000,high income,Prop. 39
19646600000000_2763,1901,0.44,36.22,0.61,1,3.4,240139,high income,Prop. 39
36678500000000_1260,1901,0.29,40.22,0.63,1,36.8,52632,low income,Prop. 39
19649100000000_3726,1901,0.29,38.16,0.63,1,28.45,58910,medium income,Prop. 39
56737600000000_1819,1903,0.33,36.71,0.63,0,14.1,113750,high income,Control
19646800000000_3049,1903,0.4,37.53,0.63,0,11.6,113750,high income,Control
19734400000000_3040,1903,0.2,40.2,0.63,0,13.35,53594,low income,Control
19648100000000_1591,1903,0.27,39.64,0.61,0,34.55,45375,low income,Control
19648100000000_3350,1903,0.2,39.09,0.61,0,16.65,76719,medium income,Control
33670800000000_1346,1903,0.53,29.32,0.63,0,23.95,90000,medium income,Control
19643300000000_255,1903,0.24,37.03,0.63,1,11.95,87704,medium income,Prop. 39
19643300000000_1173,1903,0.24,37.86,0.63,1,22.3,97431,medium income,Prop. 39
19651400000000_3223,1903,0.24,41.92,0.63,1,10.9,80769,medium income,Prop. 39
19648800000000_80,1903,0.4,37.29,0.63,1,32.7,76765,medium income,Prop. 39
19643300000000_256,1903,0.27,37.34,0.63,1,11.95,105000,medium income,Prop. 39
19646400000000_97,1905,0.19,41.81,0.61,0,34.6,117748,high income,Control
36750800000000_1858,1905,0.17,39.78,0.47,0,44.25,35938,low income,Control
56725200000000_3079,1905,0.48,35.03,0.61,0,11.35,107267,medium income,Control
36676000000000_2551,1905,0.15,40.1,0.47,1,44.6,85952,medium income,Prop. 39
10600000000000_285,1906,0.14,31.43,0.63,0,21,39102,low income,Control
10600000000000_484,1906,0.14,31.33,0.61,0,21,32500,low income,Control
19647090000000_654,1906,0.2,38.21,0.47,0,22.3,43333,low income,Control
30665480000000_671,1906,0.21,34.95,0.47,0,13.1,55750,low income,Control
19647200000000_3301,1906,0.22,39.09,0.58,0,24.45,23466,low income,Control
36679000000000_2544,1906,0.26,37.17,0.58,0,30,81016,medium income,Control
30736500000000_1391,1906,0.31,36.8,0.56,0,10.75,92574,medium income,Control
36676000000000_2425,1906,0.15,42.61,0.43,1,26.1,60245,medium income,Prop. 39
19648400000000_1036,1907,0.24,38.61,0.61,0,14.95,117292,high income,Control
19645900000000_292,1907,0.14,39.61,0.63,0,28.6,52233,low income,Control
36678400000000_2708,1907,0.24,38.97,0.47,0,89.9,31607,low income,Control
36676400000000_996,1907,0.58,28.92,0.63,0,14.1,91328,medium income,Control
33670300000000_565,1907,0.23,37.55,0.63,1,8.2,125026,high income,Prop. 39
36676800000000_1314,1907,0.28,35.89,0.61,1,24.05,133047,high income,Prop. 39
33670300000000_566,1907,0.3,37.15,0.63,1,8.2,101056,medium income,Prop. 39
16101700000000_2199,1909,0.26,39.89,0.63,0,19.5,33500,low income,Control
42767900000000_482,1909,0.34,33.85,0.63,0,25.1,52688,low income,Control
19647200000000_2728,1909,0.24,39.14,0.63,0,27.55,91905,medium income,Control
19647200000000_1634,1909,0.26,38.79,0.63,0,31.95,82083,medium income,Control
42767900000000_481,1909,0.34,33.85,0.63,0,25.1,84167,medium income,Control
30666500000000_3854,1911,0.31,37.72,0.63,0,8.6,119028,high income,Control
42691600000000_498,1911,0.53,31.83,0.57,0,3.7,112232,high income,Control
33751800000000_925,1911,0.21,40.57,0.47,0,21.75,41759,low income,Control
19646300000000_2200,1911,0.21,37.95,0.47,0,34,41602,low income,Control
19646300000000_2231,1911,0.21,37.82,0.57,0,36.65,41602,low income,Control
54722600000000_3797,1911,0.31,37.28,0.57,0,40.7,48750,low income,Control
30666200000000_2945,1911,0.22,39.61,0.47,0,80.1,73750,medium income,Control
36750700000000_3553,1911,0.29,37.14,0.63,0,24.15,76935,medium income,Control
36676500000000_426,1911,0.3,37.9,0.61,0,51,78750,medium income,Control
19647300000000_58,1911,0.16,40.64,0.56,1,15,55000,low income,Prop. 39
19647300000000_2552,1911,0.18,37.11,0.47,1,29.55,67067,medium income,Prop. 39
19642460000000_748,1912,0.12,41.7,0.43,0,29.3,29167,low income,Control
36750500000000_78,1912,0.13,41.59,0.63,0,30.35,48656,low income,Control
36750500000000_79,1912,0.14,41.66,0.61,0,35.25,48656,low income,Control
57700000000000_35,1912,0.19,28.11,0.63,0,17.55,78750,medium income,Control
33669900000000_195,1912,0.23,38.35,0.63,0,15.95,91078,medium income,Control
19647700000000_1450,1912,0.24,39.08,0.63,0,26.3,88125,medium income,Control
19642500000000_98,1912,0.13,41.91,0.46,1,28.25,40724,low income,Prop. 39
19642500000000_99,1912,0.17,41.53,0.47,1,28.25,40724,low income,Prop. 39
19644800000000_864,1912,0.17,43.14,0.47,1,83.65,23750,low income,Prop. 39
36750700000000_1289,1913,0.18,38.27,0.57,0,74.3,53897,low income,Control
30665200000000_3338,1913,0.22,37.92,0.63,0,13.7,85362,medium income,Control
33670300000000_151,1913,0.28,37.09,0.63,1,24.4,118393,high income,Prop. 39
19648800000000_1441,1913,0.3,39.78,0.63,1,15.35,118438,high income,Prop. 39
19650900000000_569,1913,0.29,37.76,0.63,1,67.2,109356,medium income,Prop. 39
57700000000000_185,1914,0.18,27.36,0.61,0,33.35,67865,medium income,Control
36676100000000_180,1915,0.1,42.16,0.63,0,41,53625,low income,Control
36676100000000_181,1915,0.11,42.03,0.63,0,41,48688,low income,Control
36679340000000_683,1915,0.16,40.28,0.47,0,17.95,54875,low income,Control
19644400000000_3053,1915,0.27,37.95,0.63,0,15,96591,medium income,Control
19647900000000_3114,1915,0.21,38.78,0.63,0,24.25,102031,medium income,Control
10600000000000_500,1916,0.14,30.62,0.63,0,52.85,58185,low income,Control
19642100000000_304,1916,0.21,37.45,0.63,0,13.6,95774,medium income,Control
42692000000000_917,1916,0.32,34.1,0.61,0,12.8,85500,medium income,Control
33751900000000_3421,1916,0.34,36.6,0.63,1,18.3,117963,high income,Prop. 39
19647300000000_1193,1916,0.25,38.26,0.63,1,36.55,58661,medium income,Prop. 39
19650600000000_109,1917,0.22,38.55,0.47,1,8.4,98403,medium income,Prop. 39
30666200000000_1014,1920,0.21,40.61,0.58,0,12.55,133906,high income,Control
30666500000000_993,1920,0.31,37.14,0.63,0,8.1,184844,high income,Control
54753300000000_2489,1920,0.33,38.03,0.57,0,28.6,30066,low income,Control
19648100000000_164,1920,0.13,41.03,0.63,0,15.6,61657,medium income,Control
19648100000000_165,1920,0.13,41.03,0.61,0,15.6,61657,medium income,Control
54721300000000_3275,1920,0.32,39.09,0.63,0,15.35,105179,medium income,Control
39700000000000_38,1921,0.14,30.77,0.63,0,41.4,30978,low income,Control
17600000000000_95,1921,0.17,29.22,0.57,0,27.85,50958,low income,Control
17600000000000_230,1921,0.17,29.22,0.47,0,27.85,50958,low income,Control
54755200000000_2371,1921,0.32,39.66,0.63,0,20.75,61250,medium income,Control
30665200000000_1690,1921,0.17,38.2,0.63,0,19.1,100966,medium income,Control
19102000000000_1562,1921,0.18,41.67,0.63,0,50.7,106739,medium income,Control
19647300000000_307,1921,0.29,37.47,0.61,1,16.75,169107,high income,Prop. 39
30664800000000_479,1922,0.21,38.3,0.47,0,16.3,38650,low income,Control
10600000000000_497,1922,0.16,29.52,0.63,0,38.65,63250,medium income,Control
19647300000000_305,1922,0.21,37.54,0.43,1,38.75,64933,medium income,Prop. 39
19643300000000_1427,1922,0.27,36.71,0.61,1,15.55,85500,medium income,Prop. 39
41700000000000_101,1923,0.15,27.17,0.63,0,20.75,138869,high income,Control
19648100000000_858,1923,0.2,41.28,0.63,0,10.65,137943,high income,Control
30666500000000_3471,1923,0.38,34.89,0.61,0,10.7,142647,high income,Control
10700000000000_342,1923,0.18,29.36,0.63,0,25.9,58047,low income,Control
19648100000000_859,1923,0.2,41.28,0.63,0,10.65,87894,medium income,Control
19648100000000_860,1923,0.2,41.28,0.61,0,10.65,100368,medium income,Control
19647300000000_2447,1923,0.19,39.22,0.63,1,14.85,119821,high income,Prop. 39
19647300000000_437,1923,0.22,39.08,0.57,1,23.95,111462,high income,Prop. 39
19647300000000_438,1923,0.22,39.08,0.57,1,23.95,111462,high income,Prop. 39
19646600000000_1571,1923,0.43,36.4,0.61,1,4.3,117963,high income,Prop. 39
19648700000000_2831,1924,0.34,31.04,0.63,0,7.4,144119,high income,Control
19644500000000_371,1924,0.26,38.67,0.61,0,21.85,44479,low income,Control
19643100000000_228,1924,0.23,35.74,0.57,0,6.9,93529,medium income,Control
19643100000000_227,1924,0.24,36.32,0.58,0,6.9,80125,medium income,Control
33752400000000_153,1924,0.25,39.97,0.63,0,23.75,101056,medium income,Control
36678800000000_1879,1924,0.3,38.92,0.63,0,19.4,85313,medium income,Control
54722600000000_1313,1924,0.32,38.53,0.61,0,36.75,88393,medium income,Control
30736400000000_2122,1924,0.28,37.16,0.63,1,16.45,114044,high income,Prop. 39
19647300000000_154,1924,0.43,32.9,0.63,1,29.05,78606,medium income,Prop. 39
19753400000000_224,1925,0.22,34.09,0.63,0,9.35,119797,high income,Control
19734400000000_1532,1925,0.25,39.77,0.63,0,26.75,130250,high income,Control
19645500000000_2932,1925,0.21,40.03,0.63,0,12.1,41660,low income,Control
54722600000000_559,1925,0.35,37.33,0.56,0,40.35,34981,low income,Control
19646300000000_1533,1925,0.16,38.53,0.57,0,39.9,61763,medium income,Control
19646300000000_1534,1925,0.16,38.53,0.56,0,39.9,61763,medium income,Control
19646300000000_1535,1925,0.16,38.53,0.63,0,39.9,61763,medium income,Control
19646300000000_1536,1925,0.16,38.53,0.57,0,39.9,61763,medium income,Control
19644500000000_3347,1925,0.25,38.52,0.63,0,26,64857,medium income,Control
19644500000000_2853,1925,0.31,38.1,0.63,0,19.6,90000,medium income,Control
19650600000000_3662,1925,0.26,36.78,0.63,1,8.25,131848,high income,Prop. 39
19650500000000_3572,1925,0.33,38.64,0.63,1,23.5,35382,low income,Prop. 39
19650600000000_3659,1925,0.22,37.82,0.47,1,8.25,73021,medium income,Prop. 39
19650600000000_3660,1925,0.22,37.82,0.47,1,8.25,73021,medium income,Prop. 39
19650600000000_3661,1925,0.22,37.82,0.46,1,8.25,73021,medium income,Prop. 39
19643300000000_1168,1925,0.24,37.86,0.63,1,22.3,97431,medium income,Prop. 39
56726000000000_3579,1926,0.3,40.89,0.63,0,14.65,153487,high income,Control
19648160000000_762,1926,0.16,39.58,0.56,0,26.1,58194,low income,Control
19647330000000_738,1926,0.17,39.15,0.47,0,28.75,43750,low income,Control
36750800000000_3242,1926,0.17,39.7,0.47,0,29.7,31172,low income,Control
36750440000000_734,1926,0.15,41.21,0.47,0,40,100408,medium income,Control
19647300000000_494,1926,0.07,23.82,0.57,1,14.4,99669,medium income,Prop. 39
56768300000000_1397,1926,0.24,37.67,0.63,1,22.25,68568,medium income,Prop. 39
56768300000000_1398,1926,0.24,37.53,0.63,1,22.25,68568,medium income,Prop. 39
36676800000000_3000,1926,0.38,34.92,0.47,1,12.95,105344,medium income,Prop. 39
19645400000000_905,1927,0.26,34.27,0.63,0,6.05,113235,high income,Control
19645200000000_2562,1927,0.15,40.43,0.57,0,32.65,39477,low income,Control
19645500000000_929,1927,0.19,40.3,0.63,0,16.25,53250,low income,Control
36750700000000_318,1927,0.19,38.1,0.63,0,43,64268,medium income,Control
30666200000000_3360,1927,0.22,39.51,0.47,0,26,73750,medium income,Control
30666200000000_2701,1927,0.28,38.66,0.56,0,22.05,79412,medium income,Control
36678800000000_145,1927,0.31,39.4,0.61,0,14.35,73214,medium income,Control
33670300000000_477,1927,0.25,36.86,0.61,1,11.05,123274,high income,Prop. 39
15634000000000_393,1927,0.25,39.98,0.63,1,28.95,40500,low income,Prop. 39
19650900000000_1944,1927,0.31,37.7,0.63,1,6.95,93011,medium income,Prop. 39
19650400000000_2940,1928,0.15,39.52,0.63,0,13.85,130250,high income,Control
19650400000000_2939,1928,0.16,39.49,0.63,0,13.85,111453,high income,Control
19753300000000_1930,1928,0.25,34.96,0.63,0,4.7,165500,high income,Control
19650400000000_2941,1928,0.15,39.52,0.63,0,13.85,33958,low income,Control
19645920000000_722,1928,0.17,38.71,0.46,0,28.45,47734,low income,Control
19646300000000_2638,1928,0.21,37.67,0.57,0,28.55,51875,low income,Control
33670660000000_2219,1928,0.24,41.03,0.47,0,36.4,41759,low income,Control
19646300000000_1613,1928,0.26,37.64,0.57,0,19.75,63831,medium income,Control
36677100000000_2740,1928,0.26,39.03,0.63,0,23.15,76110,medium income,Control
19651100000000_3647,1928,0.28,37.72,0.63,0,22.45,101614,medium income,Control
19650600000000_1004,1928,0.26,36.77,0.63,1,10.45,171333,high income,Prop. 39
15700000000000_281,1928,0.13,32.64,0.47,1,22.2,53774,low income,Prop. 39
15700000000000_283,1928,0.12,32.79,0.47,1,22.2,36190,low income,Prop. 39
15600000000000_383,1928,0.14,32.78,0.47,1,41.5,42143,low income,Prop. 39
10600000000000_481,1928,0.14,30.86,0.47,1,38.9,27857,low income,Prop. 39
15700000000000_282,1928,0.12,32.73,0.47,1,22.2,70469,medium income,Prop. 39
19650600000000_1003,1928,0.12,37.76,0.46,1,10.45,59891,medium income,Prop. 39
19650600000000_1000,1928,0.13,37.72,0.43,1,10.45,59891,medium income,Prop. 39
19650600000000_1001,1928,0.13,37.72,0.43,1,10.45,59891,medium income,Prop. 39
19650600000000_1002,1928,0.13,37.72,0.47,1,10.45,59891,medium income,Prop. 39
19651400000000_2457,1928,0.29,40.35,0.63,1,5.9,104375,medium income,Prop. 39
56725500000000_2566,1928,0.26,35.42,0.63,1,14.9,103403,medium income,Prop. 39
19753400000000_1722,1929,0.23,36.29,0.61,0,7.5,125000,high income,Control
56737600000000_3653,1929,0.28,37.28,0.63,0,20.05,133900,high income,Control
36678430000000_766,1929,0.24,39.8,0.61,0,18.1,55893,low income,Control
44700000000000_390,1929,0.22,20.22,0.63,0,23.45,92231,medium income,Control
33103300000000_1506,1929,0.22,40.33,0.57,0,28.45,76028,medium income,Control
19642600000000_1011,1929,0.28,38.59,0.63,0,4.25,72955,medium income,Control
23700000000000_376,1929,0.2,28.03,0.56,1,34.7,110129,high income,Prop. 39
23700000000000_377,1929,0.2,28.03,0.57,1,34.7,112766,high income,Prop. 39
23700000000000_378,1929,0.2,28.03,0.57,1,34.7,111250,high income,Prop. 39
1610000000000_412,1929,0.1,30.73,0.47,1,12.8,154671,high income,Prop. 39
33751900000000_3411,1929,0.34,36.6,0.63,1,18.3,117963,high income,Prop. 39
54700000000000_34,1929,0.17,29.39,0.56,1,19.45,52688,low income,Prop. 39
19647300000000_162,1929,0.31,37.03,0.63,1,22.05,42500,low income,Prop. 39
23700000000000_379,1929,0.2,28.03,0.47,1,34.7,71065,medium income,Prop. 39
36678500000000_3814,1929,0.27,39.95,0.63,1,27.25,61439,medium income,Prop. 39
19647300000000_163,1929,0.31,37.03,0.63,1,22.05,104760,medium income,Prop. 39
43700000000000_155,1930,0.14,27.92,0.63,0,11.6,177639,high income,Control
43700000000000_161,1930,0.09,29.17,0.61,0,28.85,133676,high income,Control
30666200000000_1221,1930,0.27,39.91,0.63,0,13.25,120729,high income,Control
19643000000000_1904,1930,0.27,37.09,0.63,0,9.3,113571,high income,Control
30647700000000_901,1930,0.29,39.05,0.61,0,2.5,132963,high income,Control
19642460000000_754,1930,0.12,41.61,0.46,0,29.3,29167,low income,Control
19649070000000_669,1930,0.14,38.71,0.47,0,30.2,32000,low income,Control
30666100000000_2641,1930,0.14,36.11,0.57,0,21.85,55489,low income,Control
15600000000000_248,1930,0.11,33.72,0.63,0,26.95,83108,medium income,Control
19734400000000_2995,1930,0.24,39.97,0.63,0,15.85,68281,medium income,Control
19642600000000_1012,1930,0.28,38.59,0.63,0,4.25,72955,medium income,Control
42691500000000_375,1930,0.32,33.06,0.63,0,18.4,77361,medium income,Control
42691500000000_376,1930,0.32,32.91,0.63,0,18.4,77361,medium income,Control
19651100000000_1785,1930,0.35,35.28,0.63,0,33.7,67281,medium income,Control
56737600000000_3756,1930,0.35,36.54,0.63,0,4.25,99773,medium income,Control
36678430000000_691,1930,0.36,37.33,0.63,0,18.1,69821,medium income,Control
30665200000000_2327,1930,0.24,37.64,0.63,0,14.15,105179,medium income,Control
23700000000000_98,1930,0.21,28.97,0.56,1,14.05,49375,low income,Prop. 39
23700000000000_180,1930,0.17,30.02,0.56,1,28.5,50341,low income,Prop. 39
23700000000000_181,1930,0.21,28.97,0.47,1,14.05,49375,low income,Prop. 39
23700000000000_182,1930,0.21,28.97,0.47,1,14.05,49375,low income,Prop. 39
15700000000000_194,1930,0.12,32.8,0.47,1,18.55,36190,low income,Prop. 39
15700000000000_293,1930,0.12,32.82,0.47,1,18.55,36190,low income,Prop. 39
54719900000000_2257,1930,0.28,38.78,0.63,1,24.35,44219,low income,Prop. 39
28700000000000_142,1930,0.2,28.99,0.57,1,10.9,95994,medium income,Prop. 39
19643300000000_1753,1930,0.29,37.22,0.63,1,11.25,90179,medium income,Prop. 39
19647300000000_1624,1930,0.21,37.53,0.57,1,32.95,103561,medium income,Prop. 39
43700000000000_159,1931,0.15,27.45,0.63,0,22.3,245125,high income,Control
19650300000000_2057,1931,0.39,35.97,0.63,0,4.95,179747,high income,Control
19102000000000_3373,1931,0.22,40.11,0.61,0,8.6,54924,low income,Control
19648400000000_2142,1931,0.22,38.95,0.61,0,23.8,89636,medium income,Control
42700000000000_403,1931,0.11,29.12,0.63,0,10.65,104583,medium income,Control
19757100000000_933,1931,0.25,40.03,0.63,0,18.05,101995,medium income,Control
19647900000000_2012,1931,0.28,38.97,0.63,0,17.5,102708,medium income,Control
19648800000000_453,1931,0.39,37.15,0.63,1,24.3,174010,high income,Prop. 39
19648800000000_454,1931,0.39,37.15,0.63,1,24.3,174010,high income,Prop. 39
19734500000000_2150,1931,0.18,38.48,0.47,1,34.4,39477,low income,Prop. 39
36676800000000_93,1931,0.27,37.86,0.63,1,30.1,72411,medium income,Prop. 39
19647300000000_1761,1931,0.29,36.58,0.63,1,17,74583,medium income,Prop. 39
30739240000000_656,1933,0.13,38.46,0.63,0,7.65,153000,high income,Control
30665300000000_3071,1933,0.25,35.08,0.63,0,5.7,130000,high income,Control
19642600000000_1032,1933,0.35,37.28,0.63,0,3.05,154292,high income,Control
19647300000000_870,1933,0.16,37.22,0.46,1,35.9,57344,low income,Prop. 39
